project_name,stars_passed,stars,forks,contributors,commits,commiters
nexthink-oss/terraform-aws-cloudtrail-s3-to-kinesis,0.7450980392156863,8,4,1,1,1
NHSDigital/spine-core-aws-common,0.9354838709677419,8,4,11,198,14
stellar/java-stellar-anchor-sdk,0.6808510638297872,12,9,8,204,8
dvargas92495/roamjs-static-site,0.7159090909090909,8,8,2,419,2
aws-samples/aws-waf-automation-terraform-samples,0.9506172839506173,8,4,3,8,3
alphagov/verify-infrastructure,0.8974820143884892,8,6,30,1437,44
terrarium-tf/cli,0.7741935483870968,7,0,1,1121,40
cds-snc/notification-terraform,0.8870967741935484,8,1,16,546,16
marjakapyaho/nightbear,0.56,7,1,2,1523,3
rabbitmq/rabbitmq-ct-helpers,0.3684210526315789,7,16,12,457,16
alimac/terraform-s3,0.4666666666666667,7,5,1,10,1
umccr/infrastructure,0.8069852941176471,7,8,13,91,1
ksatirli/terraform-aws-s3-bucket,0.6,6,6,1,16,1
SonarSource/sonar-iac,0.46835443037974683,6,3,11,412,13
tedilabs/terraform-aws-misc,0.875,6,2,2,60,3
clamorisse/lambda_demo,0.5416666666666666,6,1,1,18,2
hygieia-saas/hygieia-webapp,0.6341463414634146,7,0,1,107,1
usdigitalresponse/univaf,0.5634920634920635,6,2,12,1135,14
davidbegin/terrafuzz,0.3333333333333333,6,1,1,12,1
divgo/terraform,0.375,6,9,2,75,3
provectus/data-quality-gate,0.8076923076923077,8,0,4,118,8
alphagov/govwifi-terraform,0.8514780100937275,6,6,30,1869,46
jeastham1993/application-integration-patterns,0.7508090614886731,7,1,1,30,1
aaomoware/terraform-modules,0.4853801169590643,5,3,2,130,9
in4it/terraform-aws-cis-controls,0.9850746268656716,5,4,2,12,3
girder/terraform-heroku-girder4,0.9111111111111111,5,1,2,124,2
mozilla-platform-ops/devservices-aws,0.7731958762886598,5,10,6,326,11
binbashar/terraform-aws-tfstate-backend,0.9090909090909091,5,4,8,103,10
saurabh-hirani/terraform-workshop,0.436241610738255,5,0,1,3,2
franck-boullier/utils,0.8,5,3,1,65,3
ferocia/pipelite-public,0.4,5,0,1,8,2
Miyurz/aws-k8s,0.7,5,0,1,8,2
bionicles/bp,0.6575342465753424,5,2,4,366,6
seiji/terraform-aws-modules,0.7951219512195122,5,0,1,251,2
aws-samples/aws-codepipeline-terraform-cicd-samples,0.9791666666666666,6,6,3,22,6
jeremyhahn/hashkube,0.819672131147541,5,2,1,6,1
lambdasawa/lambdasawa,0.43478260869565216,6,0,3,278,3
mrmcc3/tf_aws_datomic,0.7,5,2,2,10,2
jespada/terraform-vpc-ecs,0.5076923076923077,5,1,1,4,1
azavea/osm-analytics,0.8363636363636363,5,2,1,12,1
cisagov/dmarc-import-tf-module,0.8947368421052632,5,0,6,284,12
EnigmaCurry/terraform-serverless-spa,0.5833333333333334,5,0,1,17,1
CirclesUBI/infrastructure-provisioning,0.7307692307692307,5,2,3,180,5
suzuki-shunsuke/tfaction-getting-started,0.8,5,2,4,231,4
rhythmictech/terraform-aws-backend,0.875,5,4,7,45,8
alphagov/di-authentication-api,0.9519519519519519,5,4,13,4579,22
e2eSolutionArchitect/terraform,0.6694214876033058,5,18,1,75,3
flypenguin/code-misc,0.75,5,4,2,90,2
zoitech/terraform-aws-s3-with-iam-access,0.5,4,5,3,30,5
BlackNightFury/modular-web-app,0.9435483870967742,4,0,1,4,3
QuiNovas/terraform-aws-config,0.9375,4,4,4,31,7
arehmandev/TerraKube-AWS,0.7721518987341772,4,1,0,104,2
DoSomething/infrastructure,0.7692307692307693,4,2,11,91,1
nulib/nulterra,0.8443396226415094,4,2,6,244,8
maidsafe-archive/safe-build-infrastructure,0.7634146341463415,4,2,3,838,6
udayreddy29/cicd-terraform,0.5652173913043478,4,7,1,2,1
artichoke/project-infrastructure,0.9375,4,0,5,790,5
Dromadon/hallebarde,0.5875,4,3,5,72,7
Nakulbajaj101/mlops-zoomcamp-final-project,0.5294117647058824,5,1,1,14,1
justincampbell/terraform-aws-staticsite,0.6470588235294118,4,7,2,17,2
podhmo/individual-sandbox,0.7,4,0,1,2194,1
akranga/terraform-modules-deprecated,0.5178571428571429,4,2,3,115,3
arehmandev/abs-kubelab,0.6666666666666666,4,0,0,2,1
azavea/terraform-aws-s3-origin,0.625,4,5,3,23,4
ahelal/terraform-modules,0.7419354838709677,4,0,2,130,9
azavea/spacenet-viz,0.75,4,0,2,56,3
afloesch/learning-terraform,0.43795620437956206,4,3,1,48,1
alexisCata/terraform_ansible_deploy,0.36,4,0,0,5,1
CVH-Lernfabrik/serverless_plc,0.6956521739130435,4,1,2,86,5
Worklytics/psoxy,0.875,4,3,6,1291,7
88lexd/lexd-solutions,0.7575757575757576,5,1,1,255,1
fun-stack/terraform-aws-fun,0.6944444444444444,4,1,4,150,4
sashee/cloudfront-multiple-origins,0.7241379310344828,4,0,1,2,1
kubefirst/gitops-template,0.625,4,6,7,356,11
dwp/dataworks-metrics-infrastructure,0.9892966360856269,4,1,20,444,24
felix-lessoer/elastic-terraform-examples,0.5862068965517241,4,0,1,22,1
splunk/splunkconf-backup,0.9482758620689655,4,4,1,417,1
Terraform-GUI/terraform-gui,0.5185185185185185,11,2,8,261,13
byu-oit/hw-fargate-api,0.9354838709677419,4,0,11,757,18
mitre/demo-aws-hardening,0.3157894736842105,3,2,5,94,8
aneoconsulting/ArmoniK.Infra,0.9016393442622951,3,0,18,1821,28
nhsconnect/prm-deductions-ehr-repository,0.9307692307692308,3,2,21,666,23
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,0.9444444444444444,3,4,7,35,7
e-valente/cloudgoat-with-steroids,0.6490566037735849,3,0,1,4,1
jellis18/e-commerce-saas,0.7307692307692307,3,1,1,60,1
akerl/aws-account,0.8461538461538461,3,1,1,702,1
jay-jain/aws-terraform,0.4842105263157895,3,0,1,459,5
LF-Engineering/insights-datasource-shared,0.8064516129032258,3,4,11,235,17
addresscloud/terraform-aws-tile-service,0.8947368421052632,3,0,1,106,1
sighupio/fury-eks-installer,0.7741935483870968,3,2,6,84,8
bootcamp-team2022/angular-frontend,0.5526315789473685,3,0,8,216,12
rohits-dev/dev-lab-aws,0.8787878787878788,4,5,1,15,2
Morriz/k8sdemo-infra,0.5606060606060606,3,3,1,10,1
cyakimov/terraform-scaffold,0.6615384615384615,3,1,1,13,1
kylecrawshaw/kylecrawshaw.com,0.3333333333333333,3,0,1,102,3
acidjazz/basal,0.7333333333333333,3,0,2,362,2
tdooner/flynn,0.5555555555555556,3,0,1,29,1
CityOfPhiladelphia/oddt-terraform,0.7210884353741497,3,0,1,86,2
megumiteam/email-forwarder,0.6,3,0,1,9,2
QuiNovas/terraform-modules,0.8865740740740741,3,4,2,130,9
EricLondon/terraform-ecs-express,0.7857142857142857,3,1,1,8,1
jSherz/bucket-access-button,0.7567567567567568,3,6,1,3,1
tablexi/terraform_modules,0.7257142857142858,3,3,13,598,17
clouduct/terraform-template,0.7,3,0,3,10,4
ministryofjustice/cloud-platform-concourse,0.6666666666666666,3,4,14,1190,24
HackYourFuture/infrastructure,0.45652173913043476,3,0,1,91,1
youngfeldt/terraform-aws-backend-s3,0.4,3,3,2,18,1
ministryofjustice/hmpps-terraform-modules,0.8284518828451883,3,1,11,304,18
lukeelten/openshift-aws,0.7428571428571429,3,1,1,233,1
1ultimat3/fuzzied,0.5555555555555556,5,0,1,45,2
VeeamHub/veeam-terraform,0.6239316239316239,3,2,2,9,2
mrled/psyops,0.5789473684210527,3,0,1,637,1
mongulu-cm/mtchoun-mouh,0.41379310344827586,3,2,8,150,11
globaldatanet/hugs,0.5,3,0,1,10,2
aws-samples/aws-mlops-pipelines-terraform,0.7,5,1,2,20,3
sachajw/course-material,0.5,3,0,2,312,4
AgnostiqHQ/covalent-kubernetes-plugin,0.7878787878787878,6,0,3,11,4
cds-snc/share-files-securely,0.8,3,0,1,15,1
SumoLogic/terraform-sumologic-sumo-logic-integrations,0.68,3,6,8,125,10
nobl9/build-on-aws-o11y-demo,0.7,3,0,1,26,1
paulmarsicloud/terraform-aws-openvpn-ephemeral,0.6666666666666666,3,2,1,30,1
ministryofjustice/opg-terraform-aws-account,0.9675925925925926,3,1,6,143,8
QuiNovas/terraform-aws-cloudtrail,0.9387755102040817,2,4,3,33,8
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,0.925531914893617,2,0,2,4,3
dwp/aws-analytical-env,0.9294258373205742,3,2,30,610,36
eliasbrange/aws-github-actions-oidc,0.7391304347826086,2,0,1,29,1
pinxiong/infrastructure,0.6060606060606061,2,2,1,91,1
finboxio/rancher-aws,0.6771653543307087,2,0,2,159,2
eana/bitwarden-tf-aws,0.85,2,2,3,158,3
MrrRaph/wavegame-terraform,0.735632183908046,2,0,1,19,1
Rondineli/mutirao_devops_cloudfront_demo,0.4883720930232558,2,0,1,17,2
diavbolo/realtime-costs,0.7897435897435897,2,0,0,19,1
batestin1/Amazon-EMR,0.7142857142857143,2,0,1,1,1
wei-zhong90/deltalake-aws-poc-demo,0.775,2,0,2,44,5
radeksimko/devheaven-cz-2018-talk-demo,0.5416666666666666,2,0,1,13,1
QuiNovas/terraform-aws-cloudfront,0.9111111111111111,2,11,5,70,8
troydieter/aws-textract-comprehend,0.6046511627906976,2,0,1,8,1
MartinPaulEve/meve-iac,0.7936507936507936,2,0,1,12,1
wri/gfw-iac-workshop,0.7272727272727273,2,0,2,11,2
devopshubproject/aws-catchup,0.6470588235294118,2,5,1,2,2
cullancarey/terraform-aws-static-s3-website-template,0.8717948717948718,1,9,1,23,3
logicbomb-1/terraform-aws-cis-benchmark,0.8352941176470589,2,1,1,39,2
rackspace-infrastructure-automation/aws-terraform-s3,0.9,2,12,10,63,13
yami-jabami/juuzou,0.782608695652174,3,1,2,6,2
temmyzeus/spotify_airflow_batch_ingestion,0.48,2,1,1,73,1
BielosX/AWS-developer,0.7327868852459016,3,0,1,92,1
mondorobot/terraform-s3,0.42857142857142855,2,1,1,10,1
keithsjohnson/AWSServerlessFeedbackDemo,0.48148148148148145,2,0,1,27,1
lazam/terraform-ansible,0.6176470588235294,2,1,1,10,2
springboot-angular2-tutorial/micropost-formation,0.5576923076923077,2,0,1,203,1
ccnmtl/tfmodules,0.4375,2,1,3,13,4
nsbno/app-infrastructure,0.7101449275362319,2,0,11,203,17
dvsa/motr-terraform,0.6756756756756757,2,1,15,142,24
jimroth/ice-terraform-modules,0.8024691358024691,2,0,1,23,1
codeship-library/codeship-docker-terraform,0.5555555555555556,2,2,2,17,3
soldierxue/terraformlib,0.5424836601307189,2,0,1,82,2
graymeta/terraform-aws-platform,0.7414634146341463,2,3,7,374,11
glaucius/aws-terraform,0.38461538461538464,2,2,1,459,5
JonathanPorta/lambda_face_recognition_example,0.6666666666666666,2,2,1,31,2
JonathanPorta/lambda_face_recognition_prebuilt,0.5714285714285714,2,2,1,5,2
Cimpress-MCP/terraform,0.8053097345132744,2,6,5,75,3
Artemmkin/terraform-statelock,0.46153846153846156,2,3,1,5,2
M1ke/mancjs-aws-blog,0.5,3,0,1,7,1
rastandy/terraform-s3-cloudfront-basic-auth-website,0.8571428571428571,2,0,1,10,1
crisboarna/terraform-aws-lambda-invoke,0.6666666666666666,2,2,1,12,1
cloudposse/terraform-aws-athena,0.6666666666666666,2,0,2,3,2
leiarenee/sf-pipeline,0.7058823529411765,2,0,1,502,2
branchenergy/terraform-snowflake-snowpipe,0.96,2,1,1,13,1
fernandomullerjr/terraform-aws,0.49514563106796117,2,0,1,51,1
