pekalam/auctionhouse,7,5,1
ICCS-ISAC/Candy,8,7,11
briandenicola/kubernetes,7,2,1
pagopa/io-infra,6,4,22
inhashed/thehive-sentinel-integration,8,7,1
pagopa/cstar-infrastructure,5,2,22
NHSDigital/summary-care-record-api,5,5,30
hotosm/raw-data-api,7,2,10
claranet/terraform-azurerm-db-postgresql-flexible,5,3,6
benchiverton/OnlineStore,5,1,1
sunileman/1ClickECK,11,5,4
prancer-io/prancer-terramerra,5,1,6
jakewalsh90/Terraform-Modules-Azure,4,2,1
identiq-protocol/edge-infrastructure,4,0,9
hmcts/civil-citizen-ui,4,6,30
JFolberth/Azure_IaC_Flavors,6,3,1
fr-platform/terraform-azurerm-available-ips,4,0,2
zioproto/istio-aks-example,4,2,1
pagopa/pagopa-azure-devops,3,0,18
pagopa/terraform-infrastructure-template,4,3,2
Azure/terraform-azurerm-virtual-machine,6,5,5
CDCgov/trusted-intermediary,4,1,7
PHACDataHub/wastewater-graphql,3,0,4
CDCgov/phdi-azure,6,2,6
technicalflow/myterraform,3,0,1
OLeonardoRodrigues/terraform-azurerm-available-ips,4,0,2
gogorichie/tf-playground,3,2,1
massdriver-cloud/massdriver-cli,3,2,7
claranet/terraform-azurerm-bastion-vm,3,1,14
hmcts/aks-sds-deploy,4,5,30
mattiasholm/code,3,3,1
pavanjava/terraform-tutorial,3,1,1
jmvigueras/playground,4,2,0
dapr-in-prod/samples,3,0,2
LefeWare-Solutions/Azure-MasterIaCTemplates,4,1,1
sourcegraph/tf-k8s-configs,2,0,1
hmcts/terraform-module-vnet-peering,3,0,1
mjmenger/terraform-f5xc-azure-base,2,0,2
kvietmeier/Terraform,3,1,1
pagopa/terraform-azurerm-v3,2,0,20
oaviles/hello_iac,2,0,1
hashicorp-demo-lab/demo-bootstrap,3,1,2
Contrast-Security-OSS/demo-webgoat.net,2,6,1
briandenicola/codespaces-developer-demo,2,1,2
hmcts/pip-data-management,2,1,13
FelixAnna/keep-hands-on,2,0,1
equinor/radix-terraform-azurerm-aks,3,0,2
DFE-Digital/get-an-identity,2,2,15
keithpatton/aks-workloadidentity-sample,3,0,1
boxboat/speedboat-terragrunt,2,0,1
geekzter/azure-pipelines-container-agent,2,0,1
paulveillard/cybersecurity-secrets-management,3,0,1
lacework/terraform-azure-activity-log,3,10,11
hmcts/am-org-role-mapping-service,2,1,28
Planning-Inspectorate/infrastructure-environments,2,2,19
joaovictorino/terraform-docker-spring,3,3,1
DevOps-Team-Ca/CI-CD-Team-Project-Jenkins-Azure-Pipeline-GithubActions,2,1,4
hmcts/et-sya-api,2,0,20
jmc265/jeeb-uk,2,0,1
qbeyond/terraform-azurerm-azure-bastion,2,0,2
equinor/terraform-azurerm-sql,2,0,4
sap-linuxlab/terraform.modules_for_sap,2,0,2
zakarel/Azure-terraform-templates,2,0,2
LOLRedPanda/app-core,2,0,2
dawlysd/azure-application-gateway-microhack,22,5,1
FdelMazo/7573-Arqui,2,0,6
tjsullivan1/tjs-scripts,2,0,1
tuananh281/devops-project,2,3,1
FrenchBarbusCorp/Workshop-Azure-Container-Apps,2,64,3
leancodepl/terraform-kubernetes-cluster,2,3,3
Sumit016/Cloud_Tasks,1,0,1
raedrizk/ansible-terraform-demos,2,0,1
bobbyabuchi/devops,2,0,1
keithpatton/aks-sample,3,0,1
antjpcdrogas/chatGPTVoiceDiscBot,7,0,1
hmcts/slack-help-bot,2,2,20
