Project Name,Policy ID,Evaluation
aws-samples/aws-waf-automation-terraform-samples,POL96,BOTH
aws-samples/aws-waf-automation-terraform-samples,POL98,BOTH
aws-samples/aws-waf-automation-terraform-samples,POL99,BOTH
alphagov/verify-infrastructure,POL34,BOTH
alphagov/verify-infrastructure,POL98,NONE
alphagov/verify-infrastructure,POL99,NONE
cds-snc/notification-terraform,POL34,BOTH
cds-snc/notification-terraform,POL38,NONE
marjakapyaho/nightbear,POL98,NONE
marjakapyaho/nightbear,POL99,NONE
rabbitmq/rabbitmq-ct-helpers,POL98,NONE
rabbitmq/rabbitmq-ct-helpers,POL99,NONE
alimac/terraform-s3,POL98,NONE
alimac/terraform-s3,POL99,NONE
umccr/infrastructure,POL34,BOTH
ksatirli/terraform-aws-s3-bucket,POL98,NONE
ksatirli/terraform-aws-s3-bucket,POL99,NONE
tedilabs/terraform-aws-misc,POL91,TFSEC
tedilabs/terraform-aws-misc,POL92,TFSEC
tedilabs/terraform-aws-misc,POL96,TFSEC
tedilabs/terraform-aws-misc,POL98,TFSEC
tedilabs/terraform-aws-misc,POL99,TFSEC
clamorisse/lambda_demo,POL98,NONE
clamorisse/lambda_demo,POL99,NONE
usdigitalresponse/univaf,POL34,BOTH
usdigitalresponse/univaf,POL98,NONE
usdigitalresponse/univaf,POL99,NONE
davidbegin/terrafuzz,POL98,NONE
davidbegin/terrafuzz,POL99,NONE
divgo/terraform,POL98,NONE
divgo/terraform,POL99,NONE
provectus/data-quality-gate,POL91,BOTH
provectus/data-quality-gate,POL92,BOTH
provectus/data-quality-gate,POL96,BOTH
alphagov/govwifi-terraform,POL34,BOTH
alphagov/govwifi-terraform,POL91,CHECKOV
alphagov/govwifi-terraform,POL92,CHECKOV
alphagov/govwifi-terraform,POL96,CHECKOV
jeastham1993/application-integration-patterns,POL98,NONE
jeastham1993/application-integration-patterns,POL99,NONE
in4it/terraform-aws-cis-controls,POL91,BOTH
in4it/terraform-aws-cis-controls,POL92,BOTH
in4it/terraform-aws-cis-controls,POL96,BOTH
in4it/terraform-aws-cis-controls,POL98,BOTH
in4it/terraform-aws-cis-controls,POL99,BOTH
girder/terraform-heroku-girder4,POL91,BOTH
girder/terraform-heroku-girder4,POL92,BOTH
girder/terraform-heroku-girder4,POL96,BOTH
girder/terraform-heroku-girder4,POL98,BOTH
girder/terraform-heroku-girder4,POL99,BOTH
binbashar/terraform-aws-tfstate-backend,POL91,CHECKOV
binbashar/terraform-aws-tfstate-backend,POL92,CHECKOV
binbashar/terraform-aws-tfstate-backend,POL96,NONE
binbashar/terraform-aws-tfstate-backend,POL98,CHECKOV
binbashar/terraform-aws-tfstate-backend,POL99,BOTH
saurabh-hirani/terraform-workshop,POL98,NONE
saurabh-hirani/terraform-workshop,POL99,NONE
Miyurz/aws-k8s,POL38,NONE
Miyurz/aws-k8s,POL98,NONE
Miyurz/aws-k8s,POL99,NONE
bionicles/bp,POL98,NONE
bionicles/bp,POL99,NONE
seiji/terraform-aws-modules,POL34,TFSEC
seiji/terraform-aws-modules,POL38,BOTH
seiji/terraform-aws-modules,POL91,CHECKOV
seiji/terraform-aws-modules,POL92,CHECKOV
seiji/terraform-aws-modules,POL96,CHECKOV
seiji/terraform-aws-modules,POL98,NONE
seiji/terraform-aws-modules,POL99,NONE
aws-samples/aws-codepipeline-terraform-cicd-samples,POL91,BOTH
aws-samples/aws-codepipeline-terraform-cicd-samples,POL92,BOTH
aws-samples/aws-codepipeline-terraform-cicd-samples,POL96,BOTH
aws-samples/aws-codepipeline-terraform-cicd-samples,POL98,BOTH
aws-samples/aws-codepipeline-terraform-cicd-samples,POL99,BOTH
lambdasawa/lambdasawa,POL98,NONE
lambdasawa/lambdasawa,POL99,NONE
mrmcc3/tf_aws_datomic,POL98,NONE
mrmcc3/tf_aws_datomic,POL99,NONE
EnigmaCurry/terraform-serverless-spa,POL98,NONE
EnigmaCurry/terraform-serverless-spa,POL99,NONE
CirclesUBI/infrastructure-provisioning,POL34,NONE
CirclesUBI/infrastructure-provisioning,POL98,NONE
CirclesUBI/infrastructure-provisioning,POL99,NONE
suzuki-shunsuke/tfaction-getting-started,POL91,BOTH
suzuki-shunsuke/tfaction-getting-started,POL92,BOTH
suzuki-shunsuke/tfaction-getting-started,POL96,BOTH
suzuki-shunsuke/tfaction-getting-started,POL98,BOTH
suzuki-shunsuke/tfaction-getting-started,POL99,BOTH
rhythmictech/terraform-aws-backend,POL91,BOTH
rhythmictech/terraform-aws-backend,POL92,BOTH
rhythmictech/terraform-aws-backend,POL96,BOTH
rhythmictech/terraform-aws-backend,POL98,BOTH
rhythmictech/terraform-aws-backend,POL99,BOTH
flypenguin/code-misc,POL91,BOTH
flypenguin/code-misc,POL92,BOTH
flypenguin/code-misc,POL96,BOTH
zoitech/terraform-aws-s3-with-iam-access,POL98,NONE
zoitech/terraform-aws-s3-with-iam-access,POL99,NONE
QuiNovas/terraform-aws-config,POL91,BOTH
QuiNovas/terraform-aws-config,POL92,BOTH
QuiNovas/terraform-aws-config,POL96,BOTH
QuiNovas/terraform-aws-config,POL98,BOTH
QuiNovas/terraform-aws-config,POL99,BOTH
maidsafe-archive/safe-build-infrastructure,POL98,NONE
maidsafe-archive/safe-build-infrastructure,POL99,NONE
udayreddy29/cicd-terraform,POL98,NONE
udayreddy29/cicd-terraform,POL99,NONE
artichoke/project-infrastructure,POL91,BOTH
artichoke/project-infrastructure,POL92,BOTH
artichoke/project-infrastructure,POL96,BOTH
artichoke/project-infrastructure,POL98,BOTH
artichoke/project-infrastructure,POL99,BOTH
Dromadon/hallebarde,POL98,NONE
Dromadon/hallebarde,POL99,NONE
Nakulbajaj101/mlops-zoomcamp-final-project,POL98,NONE
Nakulbajaj101/mlops-zoomcamp-final-project,POL99,NONE
justincampbell/terraform-aws-staticsite,POL98,NONE
justincampbell/terraform-aws-staticsite,POL99,NONE
podhmo/individual-sandbox,POL98,NONE
podhmo/individual-sandbox,POL99,NONE
arehmandev/abs-kubelab,POL98,NONE
arehmandev/abs-kubelab,POL99,NONE
azavea/terraform-aws-s3-origin,POL98,NONE
azavea/terraform-aws-s3-origin,POL99,NONE
ahelal/terraform-modules,POL98,NONE
ahelal/terraform-modules,POL99,NONE
