Repository Full Name,Repository Description,Star Count,Fork Count,Repository Licence,Main Language,Language Repartition
tahrats/Script_Hub_And_Spoke_Azure_Terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
dpdeepankar/terraform,practice set for terraform,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ManpreetKaur1526/terraformdisk23,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
tonyskidmore/ado-vmss-simple-demo,ado-vmss-simple-demo,0,0,MIT License,HCL,{'HCL': 100.0}
michaelstephensonuk/CodeSnippets,A random repo of code snippets,0,0,MIT License,HCL,"{'HCL': 63.44, 'PowerShell': 21.44, 'C#': 15.12}"
ahaider-intune-git/7-SH-JH-terraform-azurerm-windows-vm-maanged-disk-2csvs-main,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
adilreza/terraform_learning,,0,1,NO LICENSE,HCL,{'HCL': 100.0}
lakshmi94u/MeenigeSuresh,,0,0,NO LICENSE,HCL,"{'HCL': 82.15, 'JavaScript': 17.85}"
massdriver-cloud/azure-storage-account-application-assets,,0,0,NO LICENSE,HCL,"{'HCL': 78.02, 'Ruby': 17.82, 'Makefile': 4.16}"
Ravi01459/Terraform_Assignment,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
tonyskidmore/terraform-shell-azure-devops-elasticpool,Terraform Azure DevOps Scale Set Agent module,0,0,MIT License,Shell,"{'Shell': 76.75, 'HCL': 22.27, 'Dockerfile': 0.83, 'Makefile': 0.15}"
Subash-Bhattachan/test1,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
amillalen/ejercicio_kubernetes,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ManpreetKaur1526/terraform2923,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
TGDavid/Action-test,,0,0,NO LICENSE,,{}
sheeriot/iotdash,Infrastructure for applications,0,0,NO LICENSE,HCL,"{'HCL': 86.34, 'Shell': 13.66}"
aklex/init_db_tf,Init Azure MS SQL via TF,1,0,NO LICENSE,HCL,"{'HCL': 87.27, 'TSQL': 12.73}"
ankittkamal/Azure-DevOps-Kubernetes-Terraform-pipeline,,0,0,NO LICENSE,Java,"{'Java': 52.09, 'HCL': 45.64, 'Dockerfile': 2.27}"
simotark/tf-demo,terraform demo,0,0,NO LICENSE,HCL,{'HCL': 100.0}
kawycki/aks-hub-spoke,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
alpeles/IaCDemo,,0,0,NO LICENSE,HTML,"{'HTML': 54.64, 'HCL': 45.36}"
BMeyn/tf_module_generic_resource_group,,0,0,NO LICENSE,Shell,"{'Shell': 90.4, 'Go': 4.01, 'Dockerfile': 3.45, 'HCL': 1.74, 'Makefile': 0.39}"
frasermolyneux/portal-repository-func,Part of XtremeIdiots Portal solution; repository maintenance and statistics building. Deployed using Terraform and GitHub Actions.,0,0,GNU General Public License v3.0,C#,"{'C#': 58.22, 'HCL': 41.78}"
hz9-developer/terraform,Ejercicio Terraform,0,0,NO LICENSE,HCL,{'HCL': 100.0}
yogikondeboina/github-terraform-azure,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
slipstreamamx/DevOps-Course-Starter2021,,0,0,NO LICENSE,Python,"{'Python': 63.4, 'HTML': 16.98, 'HCL': 14.72, 'Dockerfile': 3.06, 'Jinja': 0.99, 'Shell': 0.84}"
ravi-git-22/28-jan-iac-azure-resources,to learn deploying resources to Azure using Github actrions,0,0,NO LICENSE,JavaScript,"{'JavaScript': 24.78, 'HTML': 22.3, 'C#': 16.94, 'HCL': 13.67, 'CSS': 12.05, 'Bicep': 10.26}"
fvilarinho/akamai-multicloud-demo,This is a demo project to demonstrate how easy is to deploy an K8S application in a multi-cloud (including Akamai Cloud Computing) strategy using Terraform.,1,0,Apache License 2.0,HCL,"{'HCL': 90.3, 'Shell': 9.7}"
sandhyaaw12/terraform,Practice,0,0,NO LICENSE,HCL,{'HCL': 100.0}
arindam0310018/28-Jan-2023-DevOps__Terraform-Count-and-If-Else,COUNT AND IF ELSE WITH TERRAFORM & DEVOPS,0,1,MIT License,HCL,{'HCL': 100.0}
supertrampr/terraform_azure_mysqldb_flexible_example_test,Simple module to test Azure Database for MySQL - Flexible Server,0,0,NO LICENSE,Go,{'Go': 100.0}
dsprabhu/hashicorp-certified-terraform-associate-on-azure-main,,0,0,NO LICENSE,HCL,"{'HCL': 94.78, 'Shell': 4.03, 'HTML': 1.18}"
yogikondeboina/srikanth-azt,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ThalesGroup/learn-ciphertrust,,1,0,MIT License,JavaScript,"{'JavaScript': 71.33, 'HCL': 23.55, 'TypeScript': 2.54, 'Shell': 1.48, 'Dockerfile': 0.89, 'CSS': 0.21}"
KISLAYA-SRI/Capstone-Project-Demo_Team-A,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
dobenna/lab_terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
komalsinha0207/NotificationHub,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ContainerSolutions/bluebank-onboarding,Repo with code for Day in the life exercises (to better onboard engineers in a blue bank),0,0,NO LICENSE,HCL,"{'HCL': 68.15, 'Go': 31.85}"
simplon-paul-lion/brief7,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
mich-deg/terraform-advanced,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
SuwaniDemoOrg/my-devsecops,,0,0,MIT License,TSQL,"{'TSQL': 65.11, 'C#': 23.67, 'Go': 2.37, 'Bicep': 1.93, 'HCL': 1.93, 'Java': 1.68, 'Shell': 1.2, 'HTML': 0.8, 'JavaScript': 0.63, 'PowerShell': 0.42, 'Dockerfile': 0.21, 'CSS': 0.05}"
mccrackenyyc/global-web-app,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
lakshmikarc/terraform-1,,0,0,NO LICENSE,HCL,"{'HCL': 93.72, 'HTML': 5.03, 'Ruby': 1.13, 'Shell': 0.07, 'SCSS': 0.04}"
seanke/ViteAspNetExample,,0,0,NO LICENSE,C#,"{'C#': 54.51, 'PowerShell': 25.38, 'HCL': 7.7, 'CSS': 4.97, 'TypeScript': 3.78, 'HTML': 3.67}"
NHSDigital/summary-care-record-api,,5,3,Other,Java,"{'Java': 52.88, 'HTML': 25.97, 'Python': 15.52, 'Mustache': 4.59, 'Shell': 0.36, 'JavaScript': 0.28, 'Makefile': 0.17, 'HCL': 0.14, 'Dockerfile': 0.11}"
sirisha423/terraform,,0,0,NO LICENSE,HCL,"{'HCL': 99.63, 'PowerShell': 0.37}"
Azure/Mission-Critical-Online,This repository is part of the Azure Mission-Critical open source project that provides a prescriptive architectural approach to building highly-reliable cloud-native applications on Microsoft Azure for mission-critical workloads. This repository contains the online reference implementation a fully functional production-grade reference Implementation.,186,49,MIT License,C#,"{'C#': 32.61, 'HCL': 32.5, 'Smarty': 14.64, 'PowerShell': 12.23, 'JavaScript': 3.55, 'Vue': 1.81, 'Dockerfile': 1.09, 'CSS': 0.72, 'Python': 0.57, 'HTML': 0.14, 'Shell': 0.13}"
zioproto/istio-aks-example,Example of running Istio on AKS,3,1,MIT License,HCL,"{'HCL': 98.68, 'Shell': 1.32}"
thomaswatsonv1/azure104-network-practice,A repo for getting practice with Azure networking in preparation for the AZ104 exam,0,0,NO LICENSE,HCL,{'HCL': 100.0}
HCDemos/hashicafe-Azure-HCP-PackerVault,"deploy hashicafe app to Azure using Terraform Cloud, HCP Packer, and HCP Vault",0,0,Apache License 2.0,HCL,"{'HCL': 80.19, 'HTML': 19.81}"
randeer/terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Pulavarthykarthik-nagarro/terraform_code,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ivansurif/terraform_sandbox,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ratnadeb/terraform-virtual_machin_creation,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
andriylew/DevOps,,0,0,NO LICENSE,C#,"{'C#': 54.07, 'Shell': 45.37, 'HCL': 0.56}"
